# RaceRender Data
Time,Latitude,Longitude,Altitude,MPH,Heading,X,Y,GPS_Update,Accuracy
0.000,32.9857027,-89.7894288,10.0,11.8,0.0,-0.004,-0.044,1,3.0
0.100,32.9857128,-89.7894255,10.0,11.8,15.3,-0.012,1.466,1,3.0
0.200,32.9857157,-89.7894203,10.0,5.8,55.9,-1.562,1.985,1,3.0
0.301,32.9857309,-89.7894338,10.0,21.2,323.3,1.467,-2.051,1,3.0
0.401,32.9857338,-89.7894313,10.0,4.0,35.7,-1.479,1.874,1,3.0
0.501,32.9857392,-89.7894315,10.0,6.0,358.9,0.897,-1.759,1,3.0
0.601,32.9857424,-89.7894172,10.0,13.8,75.1,1.527,1.969,1,3.0
0.702,32.9857651,-89.7894314,10.0,28.7,332.3,1.504,-2.113,1,3.0
0.802,32.9857691,-89.7894259,10.0,6.9,49.3,-1.489,2.000,1,3.0
0.902,32.9857751,-89.7894374,10.0,12.7,301.8,1.515,-1.936,1,3.0
1.002,32.9857808,-89.7894395,10.0,6.6,342.6,-1.590,2.031,1,3.0
1.102,32.9857931,-89.7894444,10.0,14.6,341.8,1.513,-0.142,1,3.0
1.203,32.9857903,-89.7894498,10.0,6.0,238.8,-1.557,-1.901,1,3.0
1.303,32.9858097,-89.7894422,10.0,22.7,18.3,1.491,1.976,1,3.0
1.403,32.9858103,-89.7894505,10.0,7.8,274.9,-1.526,-1.973,1,3.0
1.503,32.9858134,-89.7894534,10.0,4.4,321.8,-1.440,1.727,1,3.0
1.604,32.9858259,-89.7894543,10.0,14.1,356.8,1.458,1.960,1,3.0
1.704,32.9858305,-89.7894639,10.0,10.4,299.3,-1.524,-1.992,1,3.0
1.804,32.9858385,-89.7894772,10.0,15.4,305.8,1.501,0.822,1,3.0
1.904,32.9858305,-89.7894732,10.0,9.7,157.0,-1.507,-2.049,1,3.0
2.004,32.9858453,-89.7894747,10.0,16.5,354.9,1.437,-1.991,1,3.0
2.105,32.9858436,-89.7894888,10.0,13.3,262.1,-1.483,-2.009,1,3.0
2.205,32.9858475,-89.7894940,10.0,6.5,311.8,-1.517,2.035,1,3.0
2.305,32.9858445,-89.7894896,10.0,5.3,129.4,-0.612,2.042,1,3.0
2.405,32.9858552,-89.7895171,10.0,28.4,294.8,1.466,1.972,1,3.0
2.506,32.9858578,-89.7895130,10.0,4.8,53.0,-1.519,1.969,1,3.0
2.606,32.9858638,-89.7895195,10.0,9.1,317.9,1.475,-2.004,1,3.0
2.706,32.9858635,-89.7895240,10.0,4.3,265.2,-1.476,-1.735,1,3.0
2.806,32.9858544,-89.7895350,10.0,14.5,225.2,1.467,-1.947,1,3.0
2.906,32.9858617,-89.7895375,10.0,8.5,344.4,-1.514,1.972,1,3.0
3.007,32.9858568,-89.7895515,10.0,14.3,247.4,1.565,-1.983,1,3.0
3.107,32.9858662,-89.7895612,10.0,13.9,319.1,-0.120,2.055,1,3.0
3.207,32.9858549,-89.7895580,10.0,13.0,166.6,-0.453,-1.978,1,3.0
3.307,32.9858504,-89.7895699,10.0,12.3,245.6,-0.323,1.961,1,3.0
3.408,32.9858528,-89.7895885,10.0,17.6,278.8,1.499,2.005,1,3.0
3.508,32.9858527,-89.7895839,10.0,4.3,90.9,-1.543,2.014,1,3.0
3.608,32.9858473,-89.7896036,10.0,19.5,251.7,1.506,1.986,1,3.0
3.708,32.9858370,-89.7896142,10.0,15.2,220.7,-1.443,-1.977,1,3.0
3.808,32.9858328,-89.7896143,10.0,4.7,180.8,-1.478,-1.478,1,3.0
3.909,32.9858266,-89.7896255,10.0,12.6,236.7,1.496,2.041,1,3.0
4.009,32.9858167,-89.7896274,10.0,11.2,189.0,-0.570,-2.120,1,3.0
4.109,32.9858220,-89.7896477,10.0,20.0,287.3,1.500,1.997,1,3.0
4.209,32.9858151,-89.7896485,10.0,7.7,185.2,-1.473,-2.065,1,3.0
4.310,32.9858051,-89.7896662,10.0,20.1,236.2,1.481,1.985,1,3.0
4.410,32.9858040,-89.7896794,10.0,12.4,264.3,-1.582,1.944,1,3.0
4.510,32.9857991,-89.7896874,10.0,9.3,233.5,-1.418,-1.909,1,3.0
4.610,32.9857858,-89.7896925,10.0,15.6,198.0,1.461,-1.910,1,3.0
4.710,32.9857835,-89.7897009,10.0,8.3,251.6,-1.505,1.966,1,3.0
4.811,32.9857625,-89.7897144,10.0,26.7,208.4,1.518,-1.949,1,3.0
4.911,32.9857566,-89.7897293,10.0,15.4,244.9,-1.479,1.892,1,3.0
5.011,32.9857594,-89.7897398,10.0,10.3,287.6,-1.514,2.005,1,3.0
5.111,32.9857391,-89.7897412,10.0,22.8,183.3,1.489,-1.937,1,3.0
5.212,32.9857404,-89.7897533,10.0,11.4,277.6,-1.496,1.940,1,3.0
5.312,32.9857288,-89.7897659,10.0,17.6,222.4,1.451,-2.055,1,3.0
5.412,32.9857168,-89.7897769,10.0,17.0,217.5,-0.284,-0.624,1,3.0
5.512,32.9857159,-89.7897910,10.0,13.2,265.8,-1.510,1.993,1,3.0
5.612,32.9857000,-89.7897980,10.0,18.9,200.3,1.493,-1.980,1,3.0
5.713,32.9856973,-89.7898212,10.0,22.0,262.1,1.335,1.948,1,3.0
5.813,32.9856919,-89.7898190,10.0,6.4,161.3,-1.520,-1.984,1,3.0
5.913,32.9856676,-89.7898390,10.0,33.0,214.6,1.546,1.971,1,3.0
6.013,32.9856585,-89.7898358,10.0,10.7,163.8,-1.515,-1.998,1,3.0
6.114,32.9856614,-89.7898582,10.0,21.3,278.8,1.542,2.044,1,3.0
6.214,32.9856479,-89.7898660,10.0,16.7,205.8,-1.517,-2.019,1,3.0
6.314,32.9856391,-89.7898681,10.0,10.1,191.4,-1.453,-1.196,1,3.0
6.414,32.9856318,-89.7898844,10.0,17.3,242.0,1.483,2.049,1,3.0
6.514,32.9856289,-89.7898944,10.0,9.9,251.0,-1.513,0.711,1,3.0
6.615,32.9856186,-89.7899062,10.0,16.0,223.8,1.474,-2.049,1,3.0
6.715,32.9856037,-89.7899163,10.0,19.3,209.7,1.484,-2.001,1,3.0
6.815,32.9856043,-89.7899290,10.0,11.9,273.6,-1.529,2.032,1,3.0
6.915,32.9856047,-89.7899171,10.0,11.1,87.9,-0.365,2.002,1,3.0
7.016,32.9855844,-89.7899522,10.0,40.0,235.4,1.485,1.967,1,3.0
7.116,32.9855859,-89.7899483,10.0,4.0,64.3,-1.517,-2.001,1,3.0
7.216,32.9855773,-89.7899612,10.0,15.5,231.5,1.503,2.024,1,3.0
7.316,32.9855762,-89.7899818,10.0,19.3,266.5,1.471,2.018,1,3.0
7.416,32.9855689,-89.7899845,10.0,8.6,197.3,-1.499,-2.018,1,3.0
7.517,32.9855596,-89.7899919,10.0,12.4,213.6,1.491,1.592,1,3.0
7.617,32.9855565,-89.7899954,10.0,4.8,223.8,-1.474,0.344,1,3.0
7.717,32.9855631,-89.7900041,10.0,11.0,312.1,1.532,1.986,1,3.0
7.817,32.9855563,-89.7900098,10.0,9.2,215.4,-0.799,-1.894,1,3.0
7.918,32.9855414,-89.7900258,10.0,22.4,221.9,1.476,1.098,1,3.0
8.018,32.9855544,-89.7900301,10.0,15.1,344.5,-1.485,2.046,1,3.0
8.118,32.9855492,-89.7900425,10.0,13.0,243.5,-0.938,-2.024,1,3.0
8.218,32.9855406,-89.7900412,10.0,9.7,172.9,-1.480,-2.013,1,3.0
8.318,32.9855417,-89.7900664,10.0,23.6,273.0,1.483,1.983,1,3.0
8.419,32.9855465,-89.7900582,10.0,9.4,55.5,-1.467,2.012,1,3.0
8.519,32.9855439,-89.7900729,10.0,14.1,258.4,1.521,-1.993,1,3.0
8.619,32.9855386,-89.7900835,10.0,11.7,239.0,-1.158,-1.859,1,3.0
8.719,32.9855369,-89.7900809,10.0,3.1,127.5,-1.515,-1.977,1,3.0
8.820,32.9855436,-89.7900918,10.0,12.7,306.1,1.502,1.981,1,3.0
8.920,32.9855477,-89.7900917,10.0,4.7,1.1,-1.493,1.981,1,3.0
9.020,32.9855586,-89.7901162,10.0,25.9,297.9,1.551,-1.958,1,3.0
9.120,32.9855585,-89.7900995,10.0,15.7,90.1,-1.562,1.986,1,3.0
9.220,32.9855591,-89.7901096,10.0,9.6,274.0,-1.548,-2.042,1,3.0
9.321,32.9855562,-89.7901204,10.0,10.6,252.1,0.535,-1.892,1,3.0
9.421,32.9855607,-89.7901296,10.0,9.9,300.0,-0.322,2.052,1,3.0
9.521,32.9855765,-89.7901310,10.0,17.7,355.8,1.530,2.015,1,3.0
9.621,32.9855758,-89.7901354,10.0,4.2,259.2,-1.464,-1.959,1,3.0
