# RaceRender Data
Time,Latitude,Longitude,Altitude,MPH,Heading,X,Y,GPS_Update,Accuracy
0.000,32.9857040,-89.7895893,10.0,4.1,0.0,-0.049,-0.039,1,3.0
0.100,32.9857069,-89.7895917,10.0,4.1,324.7,-0.025,-1.129,1,3.0
0.200,32.9857069,-89.7895888,10.0,2.9,89.8,-0.578,1.898,1,3.0
0.301,32.9857100,-89.7895816,10.0,7.8,62.8,1.492,-1.650,1,3.0
0.401,32.9857142,-89.7895880,10.0,7.9,308.6,0.057,-2.051,1,3.0
0.501,32.9857121,-89.7895916,10.0,4.3,235.3,-1.516,-2.053,1,3.0
0.601,32.9857203,-89.7895815,10.0,13.6,46.1,1.479,1.938,1,3.0
0.701,32.9857244,-89.7895847,10.0,5.7,327.2,-1.507,-2.026,1,3.0
0.801,32.9857261,-89.7895855,10.0,2.2,337.6,-1.549,0.201,1,3.0
0.902,32.9857303,-89.7895914,10.0,7.5,310.7,1.488,-1.599,1,3.0
1.002,32.9857450,-89.7895958,10.0,17.5,345.7,1.516,1.959,1,3.0
1.102,32.9857346,-89.7895950,10.0,12.0,176.1,-1.503,-1.993,1,3.0
1.202,32.9857402,-89.7896020,10.0,9.4,313.2,-1.203,1.960,1,3.0
1.302,32.9857517,-89.7895938,10.0,15.6,30.9,1.530,2.024,1,3.0
1.402,32.9857528,-89.7895919,10.0,2.2,54.8,-1.494,0.457,1,3.0
1.503,32.9857443,-89.7896006,10.0,13.0,220.6,1.474,1.974,1,3.0
1.603,32.9857598,-89.7895967,10.0,18.4,11.9,1.467,2.041,1,3.0
1.703,32.9857679,-89.7896008,10.0,10.2,336.9,-1.453,-2.133,1,3.0
1.803,32.9857714,-89.7895897,10.0,11.5,69.5,0.585,1.906,1,3.0
1.903,32.9857644,-89.7895971,10.0,10.8,221.7,-0.317,2.061,1,3.0
2.003,32.9857628,-89.7896006,10.0,3.9,241.3,-1.540,0.525,1,3.0
2.104,32.9857628,-89.7896043,10.0,3.5,269.8,-0.123,0.750,1,3.0
2.204,32.9857715,-89.7896109,10.0,11.9,327.2,1.468,2.024,1,3.0
2.304,32.9857786,-89.7896096,10.0,8.3,8.9,-1.527,1.999,1,3.0
2.404,32.9857700,-89.7896079,10.0,10.1,170.5,0.797,1.928,1,3.0
2.504,32.9857758,-89.7896033,10.0,8.1,32.9,-0.915,-2.025,1,3.0
2.604,32.9857754,-89.7896158,10.0,12.1,267.4,1.472,-2.087,1,3.0
2.705,32.9857886,-89.7896239,10.0,17.3,332.8,1.468,1.980,1,3.0
2.805,32.9857793,-89.7896103,10.0,17.1,129.1,-0.074,2.022,1,3.0
2.905,32.9857844,-89.7896099,10.0,5.9,4.1,-1.506,-2.042,1,3.0
3.005,32.9857921,-89.7896241,10.0,16.5,302.8,1.491,-2.013,1,3.0
3.105,32.9857942,-89.7896241,10.0,2.4,358.7,-1.523,1.075,1,3.0
3.205,32.9857846,-89.7896333,10.0,14.3,218.6,1.528,-1.990,1,3.0
3.306,32.9857813,-89.7896331,10.0,3.8,177.3,-1.532,-1.184,1,3.0
3.406,32.9857961,-89.7896236,10.0,19.4,28.2,1.524,-2.084,1,3.0
3.506,32.9857853,-89.7896346,10.0,16.5,220.5,-1.324,-1.991,1,3.0
