# RaceRender Data
Time,Latitude,Longitude,Altitude,MPH,Heading,X,Y,GPS_Update,Accuracy
0.000,32.9857024,-89.7897957,10.0,9.7,0.0,0.083,-0.061,1,3.0
0.100,32.9857040,-89.7897979,10.0,9.7,311.2,-0.019,-1.444,1,3.0
0.201,32.9857136,-89.7897860,10.0,53.6,46.4,1.042,1.387,1,3.0
0.301,32.9857146,-89.7897840,10.0,7.6,58.2,-0.965,0.788,1,3.0
0.402,32.9857218,-89.7897752,10.0,39.6,45.8,1.016,-1.521,1,3.0
0.502,32.9857203,-89.7897665,10.0,28.7,101.4,-0.988,1.431,1,3.0
0.602,32.9857283,-89.7897669,10.0,31.0,357.4,0.993,-1.510,1,3.0
0.703,32.9857266,-89.7897609,10.0,20.8,108.7,-1.012,1.557,1,3.0
0.803,32.9857244,-89.7897612,10.0,8.5,187.8,-1.011,1.609,1,3.0
0.904,32.9857259,-89.7897515,10.0,32.0,79.3,1.000,-1.475,1,3.0
1.004,32.9857220,-89.7897484,10.0,18.1,146.4,-1.017,1.541,1,3.0
1.104,32.9857208,-89.7897436,10.0,16.2,106.9,-0.878,-1.535,1,3.0
1.205,32.9857188,-89.7897364,10.0,24.7,108.1,0.963,0.172,1,3.0
1.305,32.9857157,-89.7897284,10.0,28.6,114.7,1.015,1.560,1,3.0
1.406,32.9857102,-89.7897264,10.0,22.4,163.3,-1.018,1.394,1,3.0
1.506,32.9857000,-89.7897127,10.0,59.2,131.6,1.002,-1.575,1,3.0
1.606,32.9857005,-89.7897212,10.0,27.6,274.0,-1.017,1.501,1,3.0
1.707,32.9856975,-89.7897088,10.0,41.7,105.9,0.974,-1.474,1,3.0
1.807,32.9856893,-89.7897045,10.0,34.7,156.2,-0.991,1.627,1,3.0
1.908,32.9856787,-89.7897078,10.0,42.4,194.7,1.036,1.466,1,3.0
2.008,32.9856831,-89.7896983,10.0,35.2,60.8,-1.001,-1.502,1,3.0
2.108,32.9856743,-89.7896931,10.0,38.1,153.4,0.984,1.556,1,3.0
2.209,32.9856690,-89.7896888,10.0,24.7,145.7,-0.984,-1.547,1,3.0
2.309,32.9856752,-89.7896813,10.0,33.8,45.3,1.039,-1.545,1,3.0
2.410,32.9856688,-89.7896741,10.0,33.8,136.1,-0.036,1.485,1,3.0
2.510,32.9856741,-89.7896777,10.0,23.4,329.7,-1.020,-1.417,1,3.0
2.610,32.9856809,-89.7896661,10.0,45.8,55.1,0.986,1.488,1,3.0
2.711,32.9856767,-89.7896646,10.0,17.0,162.6,-0.945,1.447,1,3.0
2.811,32.9856865,-89.7896583,10.0,43.2,28.2,1.000,-1.538,1,3.0
2.912,32.9856855,-89.7896454,10.0,41.9,95.2,-0.611,1.453,1,3.0
3.012,32.9856933,-89.7896430,10.0,31.1,14.4,-1.019,-1.493,1,3.0
3.112,32.9856985,-89.7896399,10.0,22.1,26.7,-0.945,1.481,1,3.0
3.213,32.9857081,-89.7896357,10.0,39.5,20.1,1.025,-1.396,1,3.0
3.313,32.9857051,-89.7896280,10.0,27.3,114.5,-1.009,1.463,1,3.0
3.414,32.9857129,-89.7896191,10.0,41.6,44.0,0.970,-1.524,1,3.0
3.514,32.9857156,-89.7896165,10.0,13.5,39.4,-0.984,-0.354,1,3.0
3.614,32.9857181,-89.7896100,10.0,23.0,65.1,1.012,1.532,1,3.0
3.715,32.9857275,-89.7896162,10.0,41.7,331.1,1.017,-1.439,1,3.0
3.815,32.9857257,-89.7896086,10.0,25.6,105.5,-1.017,1.549,1,3.0
3.916,32.9857311,-89.7896003,10.0,34.0,52.6,1.022,-1.522,1,3.0
4.016,32.9857227,-89.7895925,10.0,41.0,142.1,0.988,1.518,1,3.0
