Time,Latitude,Longitude,Altitude,MPH,Heading,Accel_X,Accel_Y,Yaw Rate,GPS_Update,Accuracy
0.0,32.9857000,-89.7894781,10.00,26.844,0.000,-0.00000,-0.48946,22.918,1,3.0
0.1,32.9857108,-89.7894784,10.00,26.844,357.708,-0.00000,-0.48946,22.918,1,3.0
0.2,32.9857216,-89.7894791,10.00,26.844,355.416,0.00000,-0.48946,22.918,1,3.0
0.3,32.9857323,-89.7894804,10.00,26.844,353.125,0.00000,-0.48946,22.918,1,3.0
0.4,32.9857430,-89.7894822,10.00,26.844,350.833,-0.00000,-0.48946,22.918,1,3.0
0.5,32.9857536,-89.7894845,10.00,26.844,348.541,0.00000,-0.48946,22.918,1,3.0
0.6,32.9857642,-89.7894873,10.00,26.844,346.249,0.00000,-0.48946,22.918,1,3.0
0.7,32.9857746,-89.7894906,10.00,26.844,343.957,-0.00000,-0.48946,22.918,1,3.0
0.8,32.9857849,-89.7894945,10.00,26.844,341.665,0.00000,-0.48946,22.918,1,3.0
0.9,32.9857951,-89.7894987,10.00,26.844,339.374,0.00000,-0.48946,22.918,1,3.0
1.0,32.9858051,-89.7895035,10.00,26.844,337.082,-0.00000,-0.48946,22.918,1,3.0
1.1,32.9858150,-89.7895088,10.00,26.844,334.790,-0.00000,-0.48946,22.918,1,3.0
1.2,32.9858247,-89.7895145,10.00,26.844,332.498,0.00000,-0.48946,22.918,1,3.0
1.3,32.9858342,-89.7895207,10.00,26.844,330.206,-0.00000,-0.48946,22.918,1,3.0
1.4,32.9858434,-89.7895273,10.00,26.844,327.914,-0.00000,-0.48946,22.918,1,3.0
1.5,32.9858525,-89.7895343,10.00,26.844,325.623,-0.00000,-0.48946,22.918,1,3.0
1.6,32.9858612,-89.7895418,10.00,26.844,323.331,-0.00000,-0.48946,22.918,1,3.0
1.7,32.9858698,-89.7895497,10.00,26.844,321.039,0.00000,-0.48946,22.918,1,3.0
1.8,32.9858780,-89.7895580,10.00,26.844,318.747,-0.00000,-0.48946,22.918,1,3.0
1.9,32.9858860,-89.7895667,10.00,26.844,316.455,-0.00000,-0.48946,22.918,1,3.0
2.0,32.9858937,-89.7895757,10.00,26.844,314.163,0.00000,-0.48946,22.918,1,3.0
2.1,32.9859011,-89.7895852,10.00,26.844,311.872,-0.00000,-0.48946,22.918,1,3.0
2.2,32.9859081,-89.7895949,10.00,26.844,309.580,-0.00000,-0.48946,22.918,1,3.0
2.3,32.9859148,-89.7896050,10.00,26.844,307.288,0.00000,-0.48946,22.918,1,3.0
2.4,32.9859212,-89.7896154,10.00,26.844,304.996,-0.00000,-0.48946,22.918,1,3.0
2.5,32.9859272,-89.7896261,10.00,26.844,302.704,0.00000,-0.48946,22.918,1,3.0
2.6,32.9859328,-89.7896371,10.00,26.844,300.412,0.00000,-0.48946,22.918,1,3.0
2.7,32.9859381,-89.7896483,10.00,26.844,298.121,-0.00000,-0.48946,22.918,1,3.0
2.8,32.9859430,-89.7896598,10.00,26.844,295.829,0.00000,-0.48946,22.918,1,3.0
2.9,32.9859475,-89.7896715,10.00,26.844,293.537,0.00000,-0.48946,22.918,1,3.0
3.0,32.9859517,-89.7896834,10.00,26.844,291.245,-0.00000,-0.48946,22.918,1,3.0
3.1,32.9859554,-89.7896955,10.00,26.844,288.953,0.00000,-0.48946,22.918,1,3.0
3.2,32.9859587,-89.7897077,10.00,26.844,286.661,-0.00000,-0.48946,22.918,1,3.0
3.3,32.9859616,-89.7897201,10.00,26.844,284.370,-0.00000,-0.48946,22.918,1,3.0
3.4,32.9859640,-89.7897326,10.00,26.844,282.078,0.00000,-0.48946,22.918,1,3.0
3.5,32.9859661,-89.7897453,10.00,26.844,279.786,-0.00000,-0.48946,22.918,1,3.0
3.6,32.9859677,-89.7897580,10.00,26.844,277.494,-0.00000,-0.48946,22.918,1,3.0
3.7,32.9859689,-89.7897708,10.00,26.844,275.202,0.00000,-0.48946,22.918,1,3.0
3.8,32.9859697,-89.7897837,10.00,26.844,272.910,-0.00000,-0.48946,22.918,1,3.0
3.9,32.9859700,-89.7897965,10.00,26.844,270.619,-0.00000,-0.48946,22.918,1,3.0
4.0,32.9859699,-89.7898094,10.00,26.844,268.327,0.00000,-0.48946,22.918,1,3.0
4.1,32.9859694,-89.7898223,10.00,26.844,266.035,0.00000,-0.48946,22.918,1,3.0
4.2,32.9859684,-89.7898351,10.00,26.844,263.743,0.00000,-0.48946,22.918,1,3.0
4.3,32.9859670,-89.7898478,10.00,26.844,261.451,-0.00000,-0.48946,22.918,1,3.0
4.4,32.9859652,-89.7898605,10.00,26.844,259.159,-0.00000,-0.48946,22.918,1,3.0
4.5,32.9859629,-89.7898731,10.00,26.844,256.868,0.00000,-0.48946,22.918,1,3.0
4.6,32.9859603,-89.7898856,10.00,26.844,254.576,0.00000,-0.48946,22.918,1,3.0
4.7,32.9859572,-89.7898980,10.00,26.844,252.284,0.00000,-0.48946,22.918,1,3.0
4.8,32.9859537,-89.7899101,10.00,26.844,249.992,0.00000,-0.48946,22.918,1,3.0
4.9,32.9859498,-89.7899221,10.00,26.844,247.700,-0.00000,-0.48946,22.918,1,3.0
5.0,32.9859455,-89.7899340,10.00,26.844,245.408,0.00000,-0.48946,22.918,1,3.0
5.1,32.9859408,-89.7899455,10.00,26.844,243.117,0.00000,-0.48946,22.918,1,3.0
5.2,32.9859357,-89.7899569,10.00,26.844,240.825,0.00000,-0.48946,22.918,1,3.0
5.3,32.9859303,-89.7899680,10.00,26.844,238.533,0.00000,-0.48946,22.918,1,3.0
5.4,32.9859245,-89.7899789,10.00,26.844,236.241,-0.00000,-0.48946,22.918,1,3.0
5.5,32.9859183,-89.7899894,10.00,26.844,233.949,-0.00000,-0.48946,22.918,1,3.0
5.6,32.9859118,-89.7899997,10.00,26.844,231.657,0.00000,-0.48946,22.918,1,3.0
